Date,Type,Description,Amount,Balance,Tags
05 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1451.0,fees_charges
05 Sep 24,Credit,SDP_BY CASH,10000.0,11451.0,cash_deposit
13 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,1451.0,cash_withdrawal
13 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1427.4,fees_charges
14 Sep 24,Credit,SDP_BY CASH,15000.0,16427.4,cash_deposit
14 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,6427.4,cash_withdrawal
14 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,6403.8,fees_charges
14 Sep 24,Debit,NFS-ATM/CASHWD,2000.0,4403.8,cash_withdrawal
14 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,4380.2,fees_charges
14 Sep 24,Debit,NFS-ATM/CASHWD,3000.0,1380.2,cash_withdrawal
14 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1356.6,fees_charges
17 Sep 24,Credit,SDP_BY CASH,20000.0,21356.6,cash_deposit
17 Sep 24,Debit,SDP_BY CASH,20000.0,1356.6,cash_deposit
18 Sep 24,Credit,SDP_BY CASH,13000.0,14356.6,cash_deposit
18 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,4356.6,cash_withdrawal
18 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,4333.0,fees_charges
18 Sep 24,Debit,NFS-ATM/CASHWD,3000.0,1333.0,cash_withdrawal
18 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1309.4,fees_charges
19 Sep 24,Credit,SDP_BY CASH,25000.0,26309.4,cash_deposit
19 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,16309.4,cash_withdrawal
19 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,16285.8,fees_charges
19 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,6285.8,cash_withdrawal
19 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,6262.2,fees_charges
19 Sep 24,Debit,NFS-ATM/CASHWD,5000.0,1262.2,cash_withdrawal
19 Sep 24,Debit,NFS-ATM/CASHWD,23.6,1238.6,fees_charges
