Date,Type,Description,Amount,Balance,Tags
10 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,11418.6,atm_fee
12 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,1418.6,cash_withdrawal
12 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1395.0,atm_fee
12 Aug 24,Credit,SDP_BY CASH,30000.0,31395.0,cash_deposit
12 Aug 24,Debit,BY CASH WITHDRAWAL,30000.0,1395.0,cash_withdrawal
14 Aug 24,Credit,SDP_BY CASH,18000.0,19395.0,cash_deposit
14 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,9395.0,cash_withdrawal
14 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,9371.4,atm_fee
14 Aug 24,Debit,NFS-ATM/CASHWD,8000.0,1371.4,cash_withdrawal
14 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1347.8,atm_fee
17 Aug 24,Credit,SDP_BY CASH,5000.0,6347.8,cash_deposit
17 Aug 24,Debit,NFS-ATM/CASHWD,3000.0,3347.8,cash_withdrawal
17 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,3324.2,atm_fee
19 Aug 24,Debit,NFS-ATM/CASHWD,2000.0,1324.2,cash_withdrawal
19 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1300.6,atm_fee
20 Aug 24,Credit,SDP_BY CASH,15000.0,16300.6,cash_deposit
20 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,6300.6,cash_withdrawal
20 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,6277.0,atm_fee
20 Aug 24,Debit,NFS-ATM/CASHWD,5000.0,1277.0,cash_withdrawal
20 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1253.4,atm_fee
21 Aug 24,Credit,BY CASH DEPOSIT,15000.0,16253.4,cash_deposit
21 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,6253.4,cash_withdrawal
21 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,6229.8,atm_fee
21 Aug 24,Debit,NFS-ATM/CASHWD,5000.0,1229.8,cash_withdrawal
21 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1206.2,atm_fee
24 Aug 24,Credit,SDP_BY CASH,20000.0,21206.2,cash_deposit
24 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,11206.2,cash_withdrawal
24 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,11182.6,atm_fee
24 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,1182.6,cash_withdrawal
24 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1159.0,atm_fee
26 Aug 24,Credit,SDP_BY CASH,21000.0,22159.0,cash_deposit
26 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,12159.0,cash_withdrawal
26 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,12135.4,atm_fee
26 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,2135.4,cash_withdrawal
26 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,2111.8,atm_fee
27 Aug 24,Debit,NFS-ATM/CASHWD,1000.0,1111.8,cash_withdrawal
27 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1088.2,atm_fee
28 Aug 24,Credit,SDP_BY CASH,7000.0,8088.2,cash_deposit
29 Aug 24,Credit,SDP_BY CASH,3000.0,11088.2,cash_deposit
29 Aug 24,Debit,NFS-ATM/CASHWD,10000.0,1088.2,cash_withdrawal
29 Aug 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1064.6,atm_fee
31 Aug 24,Credit,GDS Salary Aug-2024,18410.0,19474.6,salary
03 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,9474.6,cash_withdrawal
03 Sep 24,Debit,NFS-ATM/CASHWD,5000.0,4474.6,cash_withdrawal
04 Sep 24,Debit,NFS-ATM/CASHWD,3000.0,1474.6,cash_withdrawal
04 Sep 24,Debit,NFS-ATM/CASHWD,500.0,974.6,cash_withdrawal
05 Sep 24,Credit,SDP_BY CASH,16000.0,16974.6,cash_deposit
05 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,6974.6,cash_withdrawal
05 Sep 24,Debit,NFS-ATM/CASHWD,5500.0,1474.6,cash_withdrawal
05 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1451.0,fees_charges
05 Sep 24,Credit,SDP_BY CASH,10000.0,11451.0,cash_deposit
13 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,1451.0,cash_withdrawal
13 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1427.4,fees_charges
14 Sep 24,Credit,SDP_BY CASH,15000.0,16427.4,cash_deposit
14 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,6427.4,cash_withdrawal
14 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,6403.8,fees_charges
14 Sep 24,Debit,NFS-ATM/CASHWD,2000.0,4403.8,cash_withdrawal
14 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,4380.2,fees_charges
14 Sep 24,Debit,NFS-ATM/CASHWD,3000.0,1380.2,cash_withdrawal
14 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1356.6,fees_charges
17 Sep 24,Credit,SDP_BY CASH,20000.0,21356.6,cash_deposit
17 Sep 24,Credit,SDP_BY CASH,20000.0,1356.6,cash_deposit
18 Sep 24,Credit,SDP_BY CASH,13000.0,14356.6,cash_deposit
18 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,4356.6,cash_withdrawal
18 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,4333.0,fees_charges
18 Sep 24,Debit,NFS-ATM/CASHWD,3000.0,1333.0,cash_withdrawal
18 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,1309.4,fees_charges
19 Sep 24,Credit,SDP_BY CASH,25000.0,26309.4,cash_deposit
19 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,16309.4,cash_withdrawal
19 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,16285.8,fees_charges
19 Sep 24,Debit,NFS-ATM/CASHWD,10000.0,6285.8,cash_withdrawal
19 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,6262.2,fees_charges
19 Sep 24,Debit,NFS-ATM/CASHWD,5000.0,1262.2,cash_withdrawal
19 Sep 24,Debit,NFS-ATM/CASHWD,23.6,1238.6,fees_charges
20 Sep 24,Debit,SDP_B017109118001_50558868_BY CASH,25000.0,26238.6,cash_withdrawal
20 Sep 24,Debit,NFS-ATM/ CASHWD/200924/09:48,3000.0,23238.6,cash_withdrawal
20 Sep 24,Debit,NFS-ATM/CASHWD CHRG/200924/09:48,23.6,23215.0,fees_charges
20 Sep 24,Debit,NFS-ATM/ CASHWD/200924/12:37,10000.0,13215.0,cash_withdrawal
20 Sep 24,Debit,NFS-ATM/CASHWD CHRG/200924/12:37,23.6,13191.4,fees_charges
20 Sep 24,Debit,NFS-ATM/ CASHWD/200924/12:38,10000.0,3191.4,cash_withdrawal
20 Sep 24,Debit,NFS-ATM/CASHWD CHRG/200924/12:38,23.6,3167.8,fees_charges
20 Sep 24,Debit,NFS-ATM/ CASHWD/200924/12:39,2000.0,1167.8,cash_withdrawal
