Date,Type,Description,Amount,Balance,Tags
03 Dec 23,Credit,GOOGLEINDI / IMPS,90.0,11873.83,other_income
04 Dec 23,Debit,AIRTEL/PYTM/PAYAIR,266.1,11607.73,mobile_recharge
05 Dec 23,Credit,GOOGLEINDI / IMPS,1810.0,13417.73,other_income
05 Dec 23,Credit,BUNDL TECHNOLOGI,8875.61,22293.34,business_income
05 Dec 23,Credit,BUNDL TECHNOLOGI,1698.7,23992.04,business_income
05 Dec 23,Debit,BHARAT P/PYTM/PAYTM,4205.0,19787.04,miscellaneous_expense
05 Dec 23,Debit,L SURESH/HDFC/STARSURESH,14000.0,5787.04,miscellaneous_expense
05 Dec 23,Debit,DRADHIKA/CIUB/DRADHIKARA,3000.0,2787.04,miscellaneous_expense
06 Dec 23,Credit,GOOGLEINDI / IMPS,3550.0,6337.04,other_income
06 Dec 23,Debit,ADD MONE/PYTM/ADD-MONEY,1000.0,5337.04,miscellaneous_expense
06 Dec 23,Credit,ZOMATO LIMITED,15483.66,20820.7,business_income
06 Dec 23,Debit,EURONETG/ICIC/EURONETGPA,3226.9,17593.8,miscellaneous_expense
07 Dec 23,Credit,GOOGLEINDI / IMPS,120.0,17713.8,other_income
07 Dec 23,Credit,BUNDL TECHNOLOGI,858.11,18571.91,business_income
07 Dec 23,Credit,BUNDL TECHNOLOGI,5942.57,24514.48,business_income
08 Dec 23,Debit,MR KUMAR/IDIB/KUMARESAN,4360.0,20154.48,miscellaneous_expense
08 Dec 23,Debit,KARTHICK/IDFB/KARTHICKO,1026.0,19128.48,miscellaneous_expense
08 Dec 23,Debit,HALWA KA/PYTM/PAYTMQR88T,330.0,18798.48,miscellaneous_expense
09 Dec 23,Debit,ASIAN PL/ICIC/GPAY-11217,4030.0,14768.48,miscellaneous_expense
09 Dec 23,Debit,ASALDAS /KKBK/9884651814,4830.0,9938.48,miscellaneous_expense
11 Dec 23,Credit,GOOGLEINDI / IMPS,294.0,10232.48,other_income
11 Dec 23,Debit,MR A BEN/IDIB/BENEDICT A,1000.0,9232.48,miscellaneous_expense
11 Dec 23,Debit,NAVEENKU/HDFC/NAVEENKUMA,6250.0,2982.48,miscellaneous_expense
12 Dec 23,Credit,BUNDL TECHNOLOGI,2166.66,5149.14,business_income
12 Dec 23,Credit,BUNDL TECHNOLOGI,1899.07,7048.21,business_income
13 Dec 23,Debit,ADD MONE/PYTM/ADD-MONEY,1000.0,6048.21,miscellaneous_expense
13 Dec 23,Debit,AV TRADE/UTIB/9786199468,1800.0,4248.21,miscellaneous_expense
13 Dec 23,Credit,ZOMATO LIMITED,6151.23,10399.44,business_income
13 Dec 23,Credit,GOOGLEINDI / IMPS,620.0,11019.44,other_income
14 Dec 23,Credit,BUNDL TECHNOLOGI,4018.56,15038.0,business_income
14 Dec 23,Credit,BUNDL TECHNOLOGI,1541.07,16579.07,business_income
15 Dec 23,Credit,GOOGLEINDI / IMPS,1193.0,17772.07,other_income
16 Dec 23,Credit,GOOGLEINDI / IMPS,1442.0,19214.07,other_income
